name,energy,protein,fat,saturates,carbohydrate,sugars,fibre,salt
tomato-ketchup,252kj/60kcal,1.8g,<0.5g,<0.1g,,8.7g,2.0g,0.69g
grains-of-life,297kcal,13.3g,8.3g,,,,5.3g,1.0g
milk1,197kj 393kj 47kcal 93kcal,3.5g,1.5g,1.1g,4.8g,4.8g,,0.10g
chicken-breast,122kcal,0.5g,2.1g,0.8g,,,,<0.5g
katie-s-kombucha,,0.3g,<0.1g,<0.1g,6.0g,6.0g,,
choco-hoops-harvest-morn,1509kj/357kcal,8.2g,1.7g,0.3g,71.0g,17.1g,12.2g,0.17g
country-veg-soup-aldi,125kj,0.7g,0.8g,0.6g,4.5g,2.4g,0.9g,0.63g
Lemon_protein_flabjack,1927kj 964kj 460kcal 230kcal,,,9.1g,,,3.5g,0.63g
chicken-korma-with-rice,677kj/161kcal,8.3g,6.2g,1.8g,17.0g,1.6g,2.4g,0.66g
bread5,216kcal,10.2g,1.4g,0.34g,,2.4g,6.5g,1.1g
chocoa_powder,1476kj/357kcal,,20.7g,12.5g,8.7g,0.5g,28.2g,0.08g
Lidl_4_seasoned_Irish_beef,1135kj/274kcal,17.4g,22.5g,9.4g,0.4g,0.4g,,0.75g
Lidl_Mix_carrot_peas_sweetcorn,210kj/50kcal,0.3g,0.3g,0.1g,8.2g,5.0g,,
mccambridge-spelt-bread-500g,,,1.43g,0.29g,,2.34g,,1.7g
butter1,2229kj 221kj 542kcal 54kcal,<0.5g,59.5g,15.7g,1.2g,1.2g,0.0g,1.3g
Lidl_Cookie_biscuit_White,2104kj,5.6g,26.4g,13.8g,59.8g,29.5g,1.9g,0.70g
Lidl_Alaska_Pollock_Fillets,302kj,16.0g,,0.1g,,,,0.25g
italian-tagliatelle-fresh-egg-pasta-supervalu,280kcal,8.7g,1.8g,,,,2.7g,0.10g
spinach-and-ricotta-tortelloni-tesco,798kj,0.6g,,,,,7.4g,
WholeWheat_Fusilli_pasta_smokedHam,526kj/125kcal,9.3g,2.8g,1.4g,,1.6g,,0.549
battered-chicken-balls-aldi-roosters,769kj/183kcal,16.1g,6.8g,0.8g,13.9g,0.5g,1.0g,0.78g
fruit_juice2,188kj,0.5g,,,,9.5g,0.3g,
Lidl_Sliced_Irish_Mature_WhiteCheese,314kcal,27.9g,22.1g,13.8g,0.80,,,1.80g
pork3,1388kj 335kcal,18.0g,29.0g,9.5g,0.5g,0.5g,0.0g,3.40g
